name,year_start,year_end,position,height,weight,birth_date,college
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University
Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University
John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem International University
Alex Abrines,2017,2018,G-F,6-6,190,"August 1, 1993",
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University
Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College
Quincy Acy,2013,2018,F,6-7,240,"October 6, 1990",Baylor University
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma
